What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Female,40,35-44,Independent,Not Very Strong conservative,High school or less,,White,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,Billions,DK/REF,Incorrect,Bernie sanders,0,TRUE,TRUE,FALSE,Barack Obama,,
Female,57,55-64,Independent,DK/REF,Graduate degree,,White,,Somewhat Approve,Equally knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Correct,Janet yellen,40,TRUE,FALSE,FALSE,Barack Obama,,
Female,66,65+,Independent,DK/REF,Some college,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,DK/REF,I don't know.,0,TRUE,TRUE,FALSE,Barack Obama,,
Male,63,55-64,Democrat,DK/REF,Some college,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Correct,,20,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,34,25-34,Independent,DK/REF,College degree,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,Trillions,Low GDP,Correct,,35,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,30,25-34,Democrat,Not Very Strong conservative,Graduate degree,,White,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,DK/REF,,40,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,31,25-34,Democrat,Not very Strong Liberal,Graduate degree,,Asian,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Robert Reich,3,FALSE,FALSE,FALSE,Barack Obama,,
Male,37,35-44,Independent,DK/REF,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Stephen Moore,35,FALSE,FALSE,FALSE,Barack Obama,,
Female,56,55-64,Democrat,DK/REF,Some college,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,30,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,37,35-44,Independent,Not Very Strong conservative,Some college,,Latino,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,2,TRUE,TRUE,FALSE,Barack Obama,Don't know,
