What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Male,37,35-44,Independent,5,College degree,,White,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Incorrect,,50,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,60,55-64,DK/REF,5,High school or less,,White,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,,,DK/REF,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,57,55-64,Democrat,Strong Conservative,Graduate degree,,Latino,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Mr. Friedman,,TRUE,TRUE,FALSE,Barack Obama,,Don't know
Male,50,45-54,Independent,5,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,DK/REF,Never,Trillions,High GDP,DK/REF,,10,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,48,45-54,Independent,5,Some college,,Other,American Indian,Strongly Approve,Equally knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Thomas Sowell,50,FALSE,FALSE,FALSE,Barack Obama,,
Male,58,55-64,Independent,DK/REF,Some college,,DK/REF,,Somewhat Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Alan Greenspan,,FALSE,FALSE,FALSE,DK/REF,,Don't know
Female,68,65+,Democrat,5,High school or less,,White,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Correct,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,51,45-54,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,Allen Greenspan,,FALSE,DK/REF,FALSE,DK/REF,,Don't know
Male,48,45-54,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,31,25-34,Republican,5,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Correct,,30,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,32,25-34,Democrat,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,10,DK/REF,FALSE,FALSE,Barack Obama,Don't know,
Male,50,45-54,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Sen,50,FALSE,FALSE,FALSE,Barack Obama,,
Female,57,55-64,Democrat,Strong Conservative,College degree,,Black,,DK/REF,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,,20,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,29,25-34,Democrat,Not very Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Correct,,10,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,25,25-34,Republican,Strong Conservative,College degree,,White,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Never,Billions,High GDP,Incorrect,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,18,18-24,DK/REF,DK/REF,High school or less,,Latino,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Correct,,,FALSE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,28,25-34,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,25,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,26,25-34,Democrat,5,College degree,,Black,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Alan Greenspan,40,TRUE,TRUE,FALSE,Barack Obama,,
Female,18,18-24,Independent,Strong Liberal,College degree,,Black,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Never,DK/REF,High GDP,Correct,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,65,65+,Independent,5,Graduate degree,,White,,Somewhat Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,,70,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,44,35-44,Democrat,5,Graduate degree,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Correct,,60,DK/REF,FALSE,FALSE,Barack Obama,Don't know,
Female,52,45-54,Democrat,Not very Strong Liberal,College degree,,Latino,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,DK/REF,DK/REF,,10,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,65,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,40,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,18,18-24,Democrat,5,Some college,,Latino,,Somewhat Disapprove,More knowlegeable,Not very well informed,Once a week,Billions,High GDP,Correct,,50,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,31,25-34,Democrat,Not Very Strong conservative,College degree,,White,,DK/REF,Less knowlegeable,Not very well informed,Never,Billions,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,55,55-64,Independent,Not Very Strong conservative,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,10,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,50,45-54,Independent,Strong Conservative,Some college,,White,,DK/REF,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Correct,,60,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,26,25-34,DK/REF,DK/REF,High school or less,,Latino,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,DK/REF,High GDP,DK/REF,,,DK/REF,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,66,65+,Democrat,Not Very Strong conservative,Graduate degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a week,Trillions,High GDP,DK/REF,,95,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,22,18-24,Democrat,5,High school or less,,White,,DK/REF,Less knowlegeable,Not very well informed,Once a year,Trillions,Low GDP,Correct,,60,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,53,45-54,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Bill Friedman,20,FALSE,FALSE,FALSE,Barack Obama,,
Male,59,55-64,Independent,Not very Strong Liberal,College degree,,Latino,,Strongly Disapprove,DK/ REF,Not very well informed,Never,Trillions,High GDP,Correct,,30,TRUE,DK/REF,FALSE,Barack Obama,Don't know,
Female,45,45-54,Independent,5,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,,,TRUE,FALSE,FALSE,DK/REF,Don't know,Don't know
Male,46,45-54,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More knowlegeable,Well Informed,More than once,Trillions,High GDP,DK/REF,,20,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,78,65+,Republican,Strong Liberal,Graduate degree,,Other,Hawaiian,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,40,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,25,25-34,Independent,DK/REF,Some college,,Latino,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,DK/REF,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,56,55-64,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,Trillions,DK/REF,DK/REF,,50,DK/REF,DK/REF,FALSE,Vladimir Putin,Don't know,
Male,42,35-44,Republican,5,Graduate degree,,Asian,,Somewhat Approve,Equally knowlegeable,Not very well informed,Once a month,Trillions,High GDP,Correct,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,30,25-34,Democrat,5,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,1,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,39,35-44,Independent,Not very Strong Liberal,Graduate degree,,DK/REF,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Never,Billions,High GDP,DK/REF,,,TRUE,DK/REF,FALSE,DK/REF,Don't know,Don't know
Female,30,25-34,Democrat,5,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Billions,High GDP,DK/REF,,30,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,33,25-34,Republican,5,Some college,,Latino,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Correct,,,TRUE,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Male,57,55-64,Democrat,5,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,,10,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,31,25-34,Independent,Strong Conservative,Some college,,Other,Hispanic,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a week,DK/REF,High GDP,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,70,65+,Republican,Not Very Strong conservative,Some college,,White,,Somewhat Approve,More knowlegeable,Well Informed,Never,Millions,High GDP,Correct,Larry Kudlow,90,TRUE,TRUE,FALSE,Barack Obama,,
Male,19,18-24,DK/REF,DK/REF,High school or less,,White,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,DK/REF,DK/REF,DK/REF,Barack Obama,Don't know,Don't know
Female,44,35-44,Independent,5,College degree,,White,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,,25,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,56,55-64,Independent,5,Graduate degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Correct,,45,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,51,45-54,Independent,5,College degree,,DK/REF,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Eric Bolling,,FALSE,FALSE,FALSE,DK/REF,,Don't know
Female,50,45-54,Democrat,5,High school or less,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,,50,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,70,65+,DK/REF,DK/REF,Some college,,DK/REF,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,,TRUE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,38,35-44,Independent,5,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,DK/REF,Correct,,40,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,47,45-54,Independent,5,Graduate degree,,Black,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,Robert Rich,10,FALSE,FALSE,FALSE,Barack Obama,,
Male,67,65+,DK/REF,Not very Strong Liberal,College degree,,Asian,,DK/REF,DK/ REF,Not very well informed,Never,Trillions,DK/REF,Incorrect,,,FALSE,FALSE,DK/REF,DK/REF,Don't know,Don't know
Female,36,35-44,Independent,5,College degree,,Asian,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,15,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,65,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,,,TRUE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,51,45-54,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,1,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,34,25-34,Democrat,Strong Liberal,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a week,Trillions,DK/REF,DK/REF,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,60,55-64,Democrat,Not very Strong Liberal,Some college,,White,,Strongly Disapprove,Less knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,Rush Limbaugh,,TRUE,TRUE,FALSE,Barack Obama,,Don't know
Female,60,55-64,Democrat,5,College degree,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,DK/REF,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Female,50,45-54,Independent,5,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Janet Yellen,20,FALSE,FALSE,FALSE,Barack Obama,,
Female,63,55-64,Independent,5,Graduate degree,,White,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,53,45-54,Independent,Strong Conservative,College degree,,Black,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Billions,High GDP,Incorrect,,75,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,62,55-64,Republican,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,,,DK/REF,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Male,67,65+,DK/REF,DK/REF,Some college,,White,,DK/REF,DK/ REF,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,2,TRUE,DK/REF,FALSE,DK/REF,Don't know,
Female,75,65+,Independent,5,High school or less,,DK/REF,,Somewhat Approve,Equally knowlegeable,Not very well informed,Once a week,Trillions,DK/REF,Correct,,20,TRUE,TRUE,TRUE,Barack Obama,Don't know,
Female,63,55-64,Democrat,5,College degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Billions,High GDP,DK/REF,,,DK/REF,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Female,62,55-64,Independent,5,Graduate degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a week,Billions,DK/REF,Correct,,,TRUE,TRUE,TRUE,Vladimir Putin,Don't know,Don't know
Female,82,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Male,54,45-54,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,Low GDP,DK/REF,,,FALSE,TRUE,FALSE,Vladimir Putin,Don't know,Don't know
Male,36,35-44,Independent,Strong Liberal,Some college,,White,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,Trillions,Low GDP,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,64,55-64,Democrat,5,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,Billions,DK/REF,DK/REF,,10,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,21,18-24,Democrat,Not very Strong Liberal,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,DK/REF,High GDP,DK/REF,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,22,18-24,DK/REF,Not Very Strong conservative,College degree,,White,,Neither approve nor disapprove,Less knowlegeable,Well Informed,Once a year,Billions,DK/REF,Incorrect,,50,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,63,55-64,Independent,5,Graduate degree,,DK/REF,,Strongly Approve,Equally knowlegeable,Not very well informed,More than once,Trillions,High GDP,Correct,Alan Greenspan,,TRUE,FALSE,FALSE,DK/REF,,Don't know
Female,62,55-64,Independent,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Larry Kudlow,,FALSE,FALSE,FALSE,Barack Obama,,Don't know
Female,70,65+,Independent,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,30,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,54,45-54,Independent,Strong Conservative,Some college,,White,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,62,55-64,Independent,5,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,,,FALSE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,67,65+,Independent,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a week,Trillions,DK/REF,Correct,,60,FALSE,FALSE,FALSE,DK/REF,Don't know,
Female,67,65+,DK/REF,Strong Conservative,High school or less,,White,,Somewhat Approve,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Incorrect,,,TRUE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,22,18-24,Democrat,5,College degree,,Other,Native American,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Once a year,Billions,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,64,55-64,DK/REF,DK/REF,High school or less,,DK/REF,,Somewhat Approve,Less knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,60,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,72,65+,Republican,Not Very Strong conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,,25,TRUE,TRUE,FALSE,Vladimir Putin,Don't know,
Male,58,55-64,Democrat,5,High school or less,,Latino,,Strongly Disapprove,DK/ REF,Not very well informed,Never,Billions,Low GDP,DK/REF,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,67,65+,Independent,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Larry Kudlow,,FALSE,DK/REF,FALSE,DK/REF,,Don't know
Male,63,55-64,Independent,5,High school or less,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Correct,,35,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,50,45-54,DK/REF,DK/REF,High school or less,,White,,Somewhat Approve,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,FALSE,FALSE,Vladimir Putin,Don't know,Don't know
Male,26,25-34,Independent,Strong Liberal,Some college,,White,,Strongly Disapprove,Equally knowlegeable,DK/REF,Once a year,Billions,Low GDP,Correct,,50,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,50,45-54,Republican,Not Very Strong conservative,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,Trillions,Low GDP,Incorrect,Alan Greenspan,60,TRUE,TRUE,FALSE,Barack Obama,,
Male,26,25-34,Democrat,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,25,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,82,65+,Independent,5,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Billions,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Female,71,65+,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Greenspan,60,TRUE,FALSE,FALSE,DK/REF,,
Male,50,45-54,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,Trillions,Low GDP,Incorrect,,10,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,38,35-44,Independent,5,High school or less,,Black,,Strongly Approve,Equally knowlegeable,Not very well informed,Once a week,Billions,DK/REF,Correct,,50,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,36,35-44,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,90,FALSE,DK/REF,FALSE,Barack Obama,Don't know,
Female,47,45-54,Democrat,Not very Strong Liberal,College degree,,Black,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Once a week,Trillions,High GDP,Incorrect,Hillary Clinton,,TRUE,TRUE,TRUE,Barack Obama,,Don't know
Female,35,35-44,Independent,Strong Liberal,College degree,,Other,Black and Latino,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,Incorrect,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,18,18-24,DK/REF,5,High school or less,,Asian,,Strongly Disapprove,DK/ REF,Not very well informed,Never,DK/REF,High GDP,Incorrect,,,DK/REF,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Female,22,18-24,Independent,Not Very Strong conservative,High school or less,,Latino,,Strongly Approve,Less knowlegeable,Not very well informed,Once a month,Billions,High GDP,Correct,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,36,35-44,Independent,DK/REF,High school or less,,DK/REF,,DK/REF,DK/ REF,DK/REF,Never,DK/REF,DK/REF,Correct,,,DK/REF,FALSE,FALSE,DK/REF,Don't know,Don't know
Male,71,65+,Independent,Strong Liberal,Graduate degree,,Latino,,Strongly Disapprove,More knowlegeable,Not very well informed,Once a week,DK/REF,High GDP,Incorrect,,,DK/REF,TRUE,TRUE,Barack Obama,Don't know,Don't know
Male,59,55-64,Independent,5,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Friedman,5,FALSE,TRUE,FALSE,Barack Obama,,
Male,87,65+,Independent,5,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Alan Greenspan,25,FALSE,TRUE,FALSE,Barack Obama,,
Female,65,65+,DK/REF,DK/REF,Graduate degree,,Black,,DK/REF,DK/ REF,Well Informed,DK/REF,DK/REF,High GDP,DK/REF,,,TRUE,FALSE,DK/REF,DK/REF,Don't know,Don't know
Female,58,55-64,Independent,5,Some college,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a week,Trillions,DK/REF,DK/REF,,55,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,19,18-24,Republican,Strong Conservative,Some college,,Latino,,Strongly Approve,Equally knowlegeable,Not very well informed,More than once,Billions,High GDP,Correct,,49,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,50,45-54,Independent,5,Some college,,Asian,,Somewhat Approve,Equally knowlegeable,Not very well informed,Once a year,DK/REF,DK/REF,Correct,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,27,25-34,Independent,Strong Conservative,Graduate degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,DK/REF,,53,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,35,35-44,DK/REF,5,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,Incorrect,,,DK/REF,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,37,35-44,Democrat,5,Graduate degree,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Correct,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,30,25-34,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,60,FALSE,FALSE,FALSE,DK/REF,Don't know,
Male,22,18-24,Republican,Strong Conservative,Some college,,White,,Somewhat Approve,More knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Correct,,20,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,51,45-54,DK/REF,DK/REF,High school or less,,Other,Native American,DK/REF,More knowlegeable,Well Informed,Once a month,DK/REF,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Female,60,55-64,Republican,5,Some college,,White,,Strongly Approve,DK/ REF,Well Informed,Once a month,Trillions,DK/REF,Incorrect,,85,TRUE,FALSE,FALSE,Vladimir Putin,Don't know,
Female,67,65+,Independent,5,Graduate degree,,White,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,Warren Buffett,40,FALSE,TRUE,FALSE,Barack Obama,,
Female,61,55-64,Independent,5,Some college,,White,,Somewhat Approve,Less knowlegeable,Not very well informed,Never,Trillions,High GDP,Incorrect,Kissinger,20,TRUE,TRUE,FALSE,Barack Obama,,
Female,77,65+,Democrat,5,Graduate degree,,Other,"Black, White and Native American",Strongly Disapprove,More knowlegeable,Well Informed,Never,Billions,Low GDP,Incorrect,,60,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,40,35-44,DK/REF,DK/REF,College degree,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,Billions,DK/REF,DK/REF,,20,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,55,55-64,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,DK/REF,,,TRUE,FALSE,FALSE,DK/REF,Don't know,Don't know
Male,50,45-54,DK/REF,DK/REF,Some college,,Black,,Somewhat Disapprove,Less knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,,TRUE,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Female,47,45-54,Independent,5,College degree,,DK/REF,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Correct,,10,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,54,45-54,Independent,5,Some college,,White,,DK/REF,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,,FALSE,TRUE,DK/REF,DK/REF,Don't know,Don't know
Female,63,55-64,Republican,Strong Conservative,Some college,,White,,Strongly Approve,Equally knowlegeable,Not very well informed,Once a month,Trillions,Low GDP,Correct,,80,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,62,55-64,Independent,Strong Conservative,Some college,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,,50,FALSE,FALSE,FALSE,DK/REF,Don't know,
Male,68,65+,Republican,Not Very Strong conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,60,TRUE,TRUE,FALSE,Barack Obama,Don't know,
